Restaurant,City,State/Province,Country,Original Air Date
Smokin' Guns BBQ,North Kansas City,Missouri,United States of America,2010-07-12
RJ's Bob-Be-Que Shack,Mission,Kansas,United States of America,2010-07-12
Johnny's Bar-B-Q,Mission,Kansas,United States of America,2010-07-12
Woodyard Bar-B-Que,Kansas City,Kansas,United States of America,2010-07-12
Swagger Fine Spirits & Food,Kansas City,Missouri,United States of America,2010-07-19
Burger Me!,Truckee,California,United States of America,2010-07-19
Athens Family Restaurant,Nashville,Tennessee,United States of America,2010-07-19
Paul's Coffee Shop,Fountain Valley,California,United States of America,2010-07-26
Rick's White Light Diner,Frankfort,Kentucky,United States of America,2010-07-26
Gordy's Hi-Hat,Cloquet,Minnesota,United States of America,2010-07-26
Arnold's Country Kitchen,Nashville,Tennessee,United States of America,2010-08-09
Southern Soul Barbeque,St. Simons Island,Georgia,United States of America,2010-08-09
Maine Diner,Wells,Maine,United States of America,2010-08-09
Kramarczuk's,Minneapolis,Minnesota,United States of America,2010-08-30
Happy Gillis Café & Hangout,Kansas City,Missouri,United States of America,2010-08-30
Hillbilly Hot Dogs,Lesage,West Virginia,United States of America,2010-08-30
Mama Cozza's,Anaheim,California,United States of America,2010-09-09
Tune Inn Restaurant,"Washington, D.C.","Washington, D.C.",United States of America,2010-09-09
Bob's Clam Hut,Kittery,Maine,United States of America,2010-09-09
Greek Corner Restaurant,Cambridge,Massachusetts,United States of America,2010-09-13
Bro's Cajun Cuisine,Nashville,Tennessee,United States of America,2010-09-13
The General Store,Silver Spring,Maryland,United States of America,2010-09-13
Parkette Drive In,Lexington,Kentucky,United States of America,2010-09-20
Metro Diner,Jacksonville,Florida,United States of America,2010-09-20
Al's Breakfast,Minneapolis,Minnesota,United States of America,2010-09-20
The Lobster Shanty,Salem,Massachusetts,United States of America,2010-09-27
The Brick,Kansas City,Missouri,United States of America,2010-09-27
Oohh's & Aahh's Gourmet Deli,"Washington, D.C.","Washington, D.C.",United States of America,2010-09-27
J.J. McBrewster's,Lexington,Kentucky,United States of America,2010-10-04
At Sara's Table Chester Creek Café,Duluth,Minnesota,United States of America,2010-10-04
Café Rakka,Hendersonville,Tennessee,United States of America,2010-10-04
Rino's Place,East Boston,Massachusetts,United States of America,2010-10-25
The Blue Door Pub,St. Paul,Minnesota,United States of America,2010-10-25
Bay Way Diner,Linden,New Jersey,United States of America,2010-10-25
Chaps Coffee Co.,Spokane,Washington,United States of America,2010-11-01
Good Dog Bar & Restaurant,Philadelphia,Pennsylvania,United States of America,2010-11-01
Porthole Restaurant,Portland,Maine,United States of America,2010-11-01
LaCaraquena,Falls Church,Virginia,United States of America,2010-11-08
Savarino's Cucina,Nashville,Tennessee,United States of America,2010-11-08
Brats Brothers,Sherman Oaks,California,United States of America,2010-11-08
George's Place,Cape May,New Jersey,United States of America,2010-11-15
Becky's Diner,Portland,Maine,United States of America,2010-11-15
Sammy's Food Service & Deli,New Orleans,Louisiana,United States of America,2010-11-15
Meal Ticket,Berkeley,California,United States of America,2010-11-26
Metro 29 Diner,Arlington,Virginia,United States of America,2010-11-26
Duluth Grill,Duluth,Minnesota,United States of America,2010-11-26
10th Avenue Burrito,Belmar,New Jersey,United States of America,2010-12-13
Capone's Pub,Coeur d'Alene,Idaho,United States of America,2010-12-13
Jamaicaway,Nashville,Tennessee,United States of America,2010-12-13
Elk Public House,Spokane,Washington,United States of America,2010-12-18
Colossal Café,Minneapolis,Minnesota,United States of America,2010-12-18
Maui's Dog House,Wildwood,New Jersey,United States of America,2010-12-18
Tortilla Café,"Washington, D.C.","Washington, D.C.",United States of America,2011-01-03
Memphis Taproom,Philadelphia,Pennsylvania,United States of America,2011-01-03
The Golden Bear,Sacramento,California,United States of America,2011-01-03
Mahoney's Po-Boy Shop,New Orleans,Louisiana,United States of America,2011-01-10
Hill's Restaurant & Lounge,Spokane,Washington,United States of America,2011-01-10
Q Fanatic BBQ,Champlin,Minnesota,United States of America,2011-01-10
Sage General Store,Queens,New York,United States of America,2011-01-17
